id,file,metadata_file,date,city,district,location_type,weather,temperature_c,time_of_day,intimacy_type,subject_count,facial_visibility,angle,distance_m,crowd_density
2026-05-17_Hangzhou_Tianjie_handholding_loose_001,images/2026-05-17_杭州_天街_标准_背_001.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_loose_001.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,handholding_loose,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_002,images/2026-05-17_Hangzhou_Tianjie_handholding_side_002.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_002.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_003,images/2026-05-17_Hangzhou_Tianjie_handholding_side_003.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_003.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_004,images/2026-05-17_Hangzhou_Tianjie_handholding_side_004.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_004.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_005,images/2026-05-17_Hangzhou_Tianjie_handholding_side_005.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_005.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_arm_over_shoulder_006,images/2026-05-17_Hangzhou_Tianjie_arm_over_shoulder_006.jpg,images/2026-05-17_Hangzhou_Tianjie_arm_over_shoulder_006.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,arm_over_shoulder,2,back_only,back,5,low

2026-05-17_Hangzhou_Tianjie_arm_over_shoulder_007,images/2026-05-17_Hangzhou_Tianjie_arm_over_shoulder_007.jpg,images/2026-05-17_Hangzhou_Tianjie_arm_over_shoulder_007.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,arm_over_shoulder,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_008,images/2026-05-17_Hangzhou_Tianjie_handholding_side_008.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_008.txt,2026-05-17,Hangzhou,Tianjie,city_street,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_009,images/2026-05-17_Hangzhou_Tianjie_handholding_side_009.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_009.txt,2026-05-17,Hangzhou,Tianjie,clothing_store,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_arm_around_waist_010,images/2026-05-17_Hangzhou_Tianjie_arm_around_waist_010.jpg,images/2026-05-17_Hangzhou_Tianjie_arm_around_waist_010.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,arm_around_waist,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_arm_in_arm_011,images/2026-05-17_Hangzhou_Tianjie_arm_in_arm_011.jpg,images/2026-05-17_Hangzhou_Tianjie_arm_in_arm_011.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,arm_in_arm_side,2,back_only,back,5,low
2026-05-17_Hangzhou_Tianjie_handholding_side_012,images/2026-05-17_Hangzhou_Tianjie_handholding_side_012.jpg,images/2026-05-17_Hangzhou_Tianjie_handholding_side_012.txt,2026-05-17,Hangzhou,Tianjie,shopping_mall,sunny,22,evening,handholding_side,2,back_only,back,5,low
2026-05-18_Hangzhou_XueyuanStreet_hug_from_behind_013,images/2026-05-18_Hangzhou_XueyuanStreet_hug_from_behind_013.jpg,images/2026-05-18_Hangzhou_XueyuanStreet_hug_from_behind_013.txt,2026-05-18,Hangzhou,XueyuanStreet,street,sunny,26,morning,hug_from_behind,2,back_only,back,5,low
2026-05-18_Hangzhou_XueyuanStreet_handholding_side_014,images/2026-05-18_Hangzhou_XueyuanStreet_handholding_side_014.jpg,images/2026-05-18_Hangzhou_XueyuanStreet_handholding_side_014.txt,2026-05-18,Hangzhou,XueyuanStreet,street,sunny,26,morning,handholding_side,2,back_only,back,5,low
2026-05-19_Hangzhou_GaoshaRoad_handholding_side_015,images/2026-05-19_Hangzhou_GaoshaRoad_handholding_side_015.jpg,images/2026-05-19_Hangzhou_GaoshaRoad_handholding_side_015.txt,2026-05-19,Hangzhou,GaoshaRoad,street,sunny,24,evening,handholding_side,2,back_only,back,5,low
2026-05-19_Hangzhou_GaoshaRoad_handholding_side_016,images/2026-05-19_Hangzhou_GaoshaRoad_handholding_side_016.jpg,images/2026-05-19_Hangzhou_GaoshaRoad_handholding_side_016.txt,2026-05-19,Hangzhou,GaoshaRoad,street,sunny,24,evening,handholding_side,2,back_only,back,5,low
2026-05-19_Hangzhou_XiashaHuansi_handholding_side_017,images/2026-05-19_Hangzhou_XiashaHuansi_handholding_side_017.jpg,images/2026-05-19_Hangzhou_XiashaHuansi_handholding_side_017.txt,2026-05-19,Hangzhou,XiashaHuansi,commercial_block,sunny,24,evening,handholding_side,2,back_only,back,5,low
